center,steering
4PUlEeHpak.png,3.18793022984224E-005
0eYAro8pDZ.png,-0.000031782
jDd61YUXez.png,-3.17807944641589E-005
WRgAE6wToM.png,-3.17864647061423E-005
JzRkZ7u7Yb.png,-3.17825434130156E-005
nHz7nJZ6Zp.png,-3.17807814366456E-005
MWJgpELrmF.png,-0.0179167627
RIlfy9co9l.png,0.018259718
P698zWKEnH.png,-0.000844926
h77lTijaVQ.png,-0.000474119
qnoERcNi3L.png,-0.0003554739
z2COxUDRRs.png,-0.0001785762
nMMYWiQv4i.png,-0.0001209988
Jh92QCeoZV.png,-0.000057525
ehYZY744OL.png,-3.18258502526904E-005
TtnJHy4vL0.png,0.000031794
4QzUL911Xe.png,-3.1809718886436E-005
TrArfcCWB8.png,-3.17876697547012E-005
8PYS12456O.png,-3.17911611386293E-005
lu1w47EOva.png,-3.18081360389036E-005
oi2qp7Qeh0.png,3.18596502362921E-005
WuXwb4Eb3P.png,3.1822928824144E-005
HLp7aJGkWe.png,-3.17856667686194E-005
ox5mAKOj8M.png,3.18623013431216E-005
tpAIrWpoqd.png,-3.17891483818983E-005
alOFQSoSaz.png,-0.000031786
7IhtcaVk59.png,-0.0019047129
qAu764r3B3.png,-0.0006752776
rHOY8zrBxv.png,-0.0004675336
inTogJEW1t.png,-0.0002206513
D0KbEAByUN.png,-0.0001035132
zIpA89Dc5n.png,-0.000071328
qLnvuGTd7d.png,-3.44574385497437E-005
wnZ2HvB7Nm.png,-3.18881121804442E-005
jWkj9mBcIj.png,-7.25445159241507E-005
kH5d0fDYsn.png,-0.000054876
ne0hJHDQ0P.png,-3.33726929208402E-005
EaMxIk5fZz.png,0.0083520459
ILbZ5251WR.png,0.0061731733
qJj8b6xdTE.png,-0.0001916167
SCK8oxGfob.png,0.000817963
PNvQikfYOj.png,0.0005593478
wEsoqw5egA.png,0.0002758879
eRRPHa7FoV.png,0.000186332
a9QGz3Oe9g.png,8.90477861968155E-005
XxeRpIRBUU.png,6.07577861650598E-005
afYlUJgHh5.png,3.28966629147506E-005
8412zRuy53.png,3.28232656869515E-005
JWrkbe2e9D.png,3.28528219454845E-005
Z7ZyJUzlUX.png,-3.28516364382815E-005
3289xLMzyh.png,-3.29125825832984E-005
0sNzigBWR2.png,-0.000032919
H2uvVLjvfZ.png,-0.000032881
1u0PMhcuE5.png,-0.0063579293
maMJgPv3eL.png,0.0120061129
a0Rh9sS6Ed.png,0.0008926495
nuMkZoIHe3.png,-6.02805543671034E-005
beAIyquqY9.png,0.0003716912
Vy6sVTu9Yh.png,0.0002802119
qvN2e0ZS6D.png,0.0001165056
oBEkBSFRZ5.png,7.8354335112632E-005
AMKiXQdSdW.png,3.44016773704226E-005
LM1MhF5eJT.png,-3.17906595779072E-005
uWooL4X8jP.png,-3.17915910478851E-005
j7SuKao51u.png,3.17895424653064E-005
6E0Whaiube.png,-3.18114613215074E-005
iLS2Gk1mwD.png,-3.17878651680305E-005
pvFZUjCm3V.png,0.0009828427
sKXhJhCt66.png,-0.0122940815
zQxYrzIgaN.png,-0.0005786649
3wm8zTlLwM.png,-6.54566613178069E-005
4Cwf30NwrL.png,0.0001871656
xqZ57PLZ3n.png,6.86039289754295E-005
toaI1cxkB5.png,5.00224677859733E-005
3tNjDaCNBV.png,3.18026286412658E-005
1bmJ8AvKSo.png,-3.162727028952E-005
J597AbFVJI.png,0.000032632
9d4t46Snvh.png,3.13564708119231E-005
bhPFrPdAlI.png,3.14340694252724E-005
hKlDQ20yn2.png,-3.13459347792645E-005
HglbfKvrvJ.png,3.13487715287169E-005
YMEEiBQDbu.png,-3.12977816902703E-005
lgsE0N54fJ.png,-3.12363242138248E-005
UpmbJn3C6j.png,3.11341393530103E-005
cy7kmQIW9I.png,3.10746653214052E-005
ecAhs9OiGV.png,3.10721900864919E-005
eNtdqLIsBW.png,3.09707412823834E-005
p2X2qK18zT.png,-0.000030771
hxBlxAqlP5.png,-0.0135744015
